scrape_city_id,scrape_city_name,oyo_id,name,city,address,rating,price,latitude,longitude
168,Agartala,79924,Hotel O K K Tower,,"TMC Road, Hapania, Near Tripura Medical College, Agartala",,,23.7857802,91.2606818
23,Agra,223429,Super Townhouse Taj Mahal East Gate Formerly Royal Empire,,"Taj Nagri Phase 2, Tajganj, Basai, Agra",,,27.1516096,78.0600336
23,Agra,355828,Hotel O Shiv Shankar ,,"M-128 M-128 Tedi Bagiya Hathras Road Near Rambagh Choraha, Agra",,,27.2274706,78.048065
23,Agra,285591,Super Townhouse Taj Nagri Phase 2 Formerly Grand Rivera,,"Taj Nagri Phase 2, Fatehabad Road, Agra",,,27.15416,78.054268
23,Agra,301145,Super Collection O Tajganj West Gate Formerly Hotel Host,,"Katra Umar Khan, West Gate Taj Mahal, Kinari Bazar, Kaserat Bazar, Tajganj, Agra",,,27.169693,78.040589
23,Agra,298692,Hotel O Tridev Agra,,"E48  Plot no.- 36/228D, Dayalbagh Road, Dayalbagh, Agra, Pin code- 282005, Nearby Landmark- Opposite Singhal Medical Store, Agra",,,27.2142327,78.0061594
23,Agra,16399,Hotel O Taj Nagri Near Taj Mahal East Gate Formerly Riviera,,"Taj Nagri Phase 3, Near Taj East Gate Metro Station, Fatehabad Road, Agra",,,27.159818,78.056186
23,Agra,18096,Palette - Dayal Lodge - A Boutique Hotel,,"Dayal Bagh Rd, Nagla Padi, Indra Puri, New Agra Colony, Agra, Uttar Pradesh, Agra",,,27.212621543445536,78.00544375553727
23,Agra,13422,Capital O Taj Castle,,"Fatehabad Road Station, SH62, Taj Ganj, Agra, Uttar Pradesh, India, Agra",,,27.157526,78.048171
23,Agra,74016,Hotel O Salt And Pepper Hotel And Resturant,,"Taj Expressway Link Rd, near Sahadra, near Prachin Pathwari Mandir, Sahadra, T.Y.C. Phase-II, Agra, Uttar Pradesh, Agra",,,27.2061342,78.0602319
23,Agra,82643,Hote O Star Shiv Shankar,,"3/F, Tedi Bagia, Hathras RoadNear Ram Bagh Crossing, Hathras Road, AgraNear Ram Bagh Crossing, Hathras Road, AgraNear Ram Bagh Crossing, Hathras Road, Agra, Agra",,,27.2288033,78.0487054
23,Agra,49150,Hotel O D' Seasons Agra Cantt Railway Station,,"Durga Complex, Shaheed Nagar, Near Upadhyay Hospital, Agra.Near Shaheed Nagar, Upadhyay Hospital, Agra, Agra",,,27.1554558,78.0349122
23,Agra,307992,Collection O Taj Viewpoint Agra,,"Taj Nagari, Phase 1, Shilpgram, Agra",,,27.1656389,78.0544167
23,Agra,325888,Hotel O by OYO Luxe Paradise,,"Behind CNG Pump, Near Pathak Hospital, Agra",,,27.1538422,78.0555279
23,Agra,319066,[Day Stay - 12 Hrs Slot : 8 AM to 8 PM] Hotel O Taj Mahal Metro Station,,"Katra Umar Khan, Kinari Bazar, Kaserat Bazar, Agra",,,27.1696964,78.0405979
23,Agra,48889,Hotel O Gayatri Palace,,"Plot number HIG 1, Fatehabad Rd, Near Radisson Hotel, Taj Nagari, Phase 1, Basai Khurd, Tajganj, Agra",,,27.1602571,78.0540132
23,Agra,197624,Hotel O Vintage House,,"Fatehabad Rd, Opposite Saga Emporium, Tajganj, Agra, Basai, Uttar Pradesh, Agra",,,27.1577649,78.0480925
23,Agra,360159,Hotel O Shiv Palace ,,"26  01, Padam vihar colony nikat rambal nagala mauja naraich, Landmark- Opposite Kalindi plaza nagala rambal road, Agra",,,27.2124087,78.0657222
23,Agra,206886,Live as AGR351,,"  NH-2, Arsena, Oppst  - Keetham Lake, Agra",,,27.1331457,78.0556757
23,Agra,110534,Hotel O Ansh Palace,,"Baroli aheer, Dhandhupura road karbhna, Tajganj, Agra",,,15.259032,73.926367
23,Agra,355781,HOTEL O HONEY,,"Flat no.-13A/605/1 sahadara, chungi, rambagh, firozabad road, Agra, Agra",,,27.2114815,78.0682826
23,Agra,359918,Hotel O Shalimar Home Stay ,," Plot no.- 59/164, Block- B/2, VIP Road, Kheria Mod, Nearby Landmark- V-MART mall and Agra cantt railway station, Airport, Agra",,,27.1624006,77.986075
23,Agra,304435,Collection O Taj Nagri Phase 2,,"Taj Nagri, Phase 2, Fatehabad Road, Agra",,,27.154209,78.054315
23,Agra,304446,[Day Stay - 12 Hrs Slot: 8 AM to 8 PM] Collection O Agra TDI Mall,,"Near Taj East Gate Metro Station, Agra",,,27.159703,78.056164
23,Agra,307151,Collection O Taj Nagri Basai,,"Taj Nagri Phase 2, Tajganj, Basai, Agra",,,27.093938,78.063498
23,Agra,317433,[Day Stay - 12 Hrs Slot: 8 AM to 8 PM] Hotel O Tourist Complex Area,,"Besides Fatehabad Road, Bansal Nagar, Agra",,,27.1611746,78.0359213
17,Ahmedabad,227604,Super Hotel O Nana Chiloda Near Airport Formerly Green Valley,,"Atlanta Business Hub, Near Airport, Gift City - Naroda Road, S.P. Ring Road Circle, Nana Chiloda, Ahmedabad",,,23.1102513,72.67387830000001
17,Ahmedabad,79479,Clubhouse Nami Residency-Sabarmati Riverfront,,"Opp V S Hospital, Ellisbridge, Ashram Road, Madalpur Gam, Paldi, Ahmedabad",,,23.021035217415225,72.57017774660972
17,Ahmedabad,100265,Super Collection O Airport Road Formerly Hotel Kyra,,"Gandhinagar Road, Indira Bridge Circle, Hansol, Airport Road, Ahmedabad",,,23.0859861,72.6307464
17,Ahmedabad,252858,Super Collection O Maninagar Formerly Park Land,,"Opp. Maninagar Railway Crossing, Near Railway station, C.T.M Express Highway to Kankaria Lake Road, Maninagar, Ahmedabad",,,22.9954714,72.6126335
